MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	199.87329	Sec	12/31/2019 10:49:14 AM
Time	1000 kN Displacement	1000 kN Force	Ex D1	Ex D2	1000 kN Count
s	mm	N	mm	mm	segments
71.891357	2.9947352	1270.9359	-0.00036597252	0.00045120716	2
72.891357	3.0050724	1736.0449	-0.00057756901	0.00045865774	2
73.891357	3.0180826	1770.9928	-0.00061392784	0.00048369169	2
74.891357	3.0300117	1869.7582	-0.00053286552	0.00053733587	2
75.891357	3.0391011	1967.6876	-0.00063538551	0.00040709972	2
76.891357	3.0508163	2056.7622	-0.0006750226	0.00050991774	2
77.891357	3.0592701	2134.6143	-0.00067591667	0.00052064657	2
78.891357	3.0703139	2184.1077	-0.00066697598	0.0006005168	2
79.891357	3.0789459	2236.6038	-0.00070720911	0.00056326389	2
80.891357	3.0891047	2292.1904	-0.00071227551	0.00064969063	2
81.891357	3.0992634	2370.3835	-0.00087052584	0.00068604946	2
82.891357	3.1085312	2473.1721	-0.00075250864	0.00066190958	2
83.891357	3.1184106	2593.8008	-0.00082850456	0.0006750226	2
84.891357	3.1279576	2762.749	-0.00083446503	0.00074863434	2
85.891357	3.1367617	2961.6062	-0.00094503164	0.00075250864	2
86.891357	3.1466651	3228.8083	-0.0010171533	0.0008007884	2
87.891357	3.1566336	3614.2048	-0.00110358	0.00084191561	2
88.891357	3.1661866	4129.1401	-0.0013253093	0.00098973513	2
89.891357	3.1760602	4835.4487	-0.0015354156	0.0010684133	2
90.891357	3.1876328	5913.5713	-0.001757443	0.0012952089	2
91.891357	3.1975064	7186.2393	-0.0022274256	0.001591444	2
92.891357	3.2074215	8660.9463	-0.0026741624	0.0018423796	2
93.891357	3.2174792	10459.17	-0.0031468272	0.002053678	2
94.891357	3.2283332	12174.021	-0.0037568808	0.0024017692	2
95.891357	3.2376008	13834.245	-0.0041610003	0.0025582314	2
96.891357	3.2497735	15964.601	-0.0046855211	0.0027748942	2
97.891357	3.2616313	18448.199	-0.0052726269	0.0031840801	2
